Clade.name,Clade.age,N.tips,Clade.size,study_code,tree_file,neglnL,lambda,mu,net.div,turn,ef,lambda_lower,mu_lower,net.div_lower,turn_lower,ef_lower,lambda_upper,mu_upper,net.div_upper,turn_upper,ef_upper,tot_bl
Viperidae,49.7,263,329,A2016.cr.pr,henaodiaz_etal_trees-master//phylo_A2016.cr.pr_.txt,888.5016786,0.100609804,2.46596656502068e-15,0.100609804,0.100609804,2.45102014998002e-14,0.075103955,2.1659727609524e-15,0.06183765,0.088370261,2.45102e-14,0.13279492,0.019935417,0.13279492,0.13279492,0.176639239,2927.883443
Costaceae,49.4,75,139,A2017.tr.pr,henaodiaz_etal_trees-master//phylo_A2017.tr.pr_.txt,246.3962288,0.187090272,0.103559724,0.083530548,0.290649996,0.553528108,0.059464822,0.000319423,0.007680339,0.111249305,0.002879506,0.559720893,0.261289893,0.558109173,0.561332613,0.870842306,786.2534434
Hordeum,9.2,21,33,B2015.pr,henaodiaz_etal_trees-master//phylo_B2015.pr_.txt,34.60008516,1.197513128,1.126939894,0.070573234,2.324453022,0.941066839,0.286513127,0.132258061,-0.702287355,0.652040834,0.25444872,4.619867165,3.248836903,3.44434788,5.79538645,1.275779969,49.05599975
Onthophagus,37.6,66,68,B2016.cr.pr,henaodiaz_etal_trees-master//phylo_B2016.cr.pr_.txt,249.3268012,0.056062985,2.72913381518629e-08,0.056062958,0.056063012,4.86797807127459e-07,0.036877578,2.20375220216154e-08,0.028484752,0.045270403,4.867978e-07,0.082138142,0.015227862,0.082138102,0.082138182,0.227586148,1164.414222
Actinopterygii,114.6,1982,27681,BR2017.cr.pr,henaodiaz_etal_trees-master//phylo_BR2017.cr.pr_.txt,4392.386223,0.735679104,0.688019368,0.047659735,1.423698472,0.935216679,0.620768166,0.578129343,0.033933202,1.207603131,0.918432751,0.843481772,0.786346636,0.068800488,1.618163055,0.945336756,28127.81301
Ovalentaria,72.8,103,352,C2015,henaodiaz_etal_trees-master//phylo_C2015_.txt,385.1588576,0.240345698,0.190228173,0.050117526,0.430573871,0.791477335,0.118610732,0.078264652,0.008468444,0.228753021,0.520071108,0.460409705,0.336973409,0.22096392,0.699855491,0.928603053,1690.903379
Coronellini,24.6,70,88,C2017.tr.cr.pr,henaodiaz_etal_trees-master//phylo_C2017.tr.cr.pr_.txt,212.2105724,0.133851407,1.07795706692281e-15,0.133851407,0.133851407,8.05338611745513e-15,0.07667454,9.0463746472578e-16,0.041019004,0.112330076,8.053386e-15,0.263041537,0.083493997,0.263041537,0.263041537,0.465024453,574.8470544
Grallariidae,28,16,53,C2018.cr.pr,henaodiaz_etal_trees-master//phylo_C2018.cr.pr_.txt,51.8391356,0.114176258,2.76069712316014e-15,0.114176258,0.114176258,2.41792573342527e-14,0.058061848,2.76069742800901e-15,0.001947438,0.114176258,2.417926e-14,0.764648591,0.375803213,0.764648591,0.764648591,0.96645925,223.6095404
Orthorrhapha,20.5,16,8116,D2017.cr,henaodiaz_etal_trees-master//phylo_D2017.cr_.txt,47.66437827,9.406673134,9.190139409,0.216533725,18.59681254,0.976980839,9.236372368,9.021852255,0.109760305,18.36298443,0.965819997,11.15054793,10.89447439,0.381125757,21.91997011,0.988116514,189.3887241
Dytiscidae,159.2,164,4196,D2018.cr,henaodiaz_etal_trees-master//phylo_D2018.cr_.txt,775.2580196,0.230038644,0.190410678,0.039627966,0.420449322,0.827733438,0.134634509,0.106079521,0.012905735,0.256363283,0.705861499,0.385675201,0.31239416,0.113441926,0.657908477,0.904142446,8008.710194
Cichlidae,64.9,89,1404,F2017.tr.pr,henaodiaz_etal_trees-master//phylo_F2017.tr.pr_.txt,301.0591615,1.773084432,1.71582655,0.057257882,3.488910981,0.967707188,1.085380223,1.038608055,0.009770901,2.160989544,0.925360998,2.85228082,2.733419846,0.212891393,5.491670246,0.990997716,1037.494084
Ceanothus,51.1,51,64,G2011b.tr,henaodiaz_etal_trees-master//phylo_G2011b.tr_.txt,165.2578239,0.122782177,0.035226191,0.087555985,0.158008368,0.286899876,0.046753014,0.00146349,0.005153134,0.088352894,0.016843141,0.402429566,0.192670463,0.395651389,0.409207744,0.889779637,525.7347872
Scolytinae,112.6,651,6000,G2017.pr,henaodiaz_etal_trees-master//phylo_G2017.pr_.txt,2804.567461,0.193757212,0.139513421,0.054243792,0.333270633,0.720042465,0.146309928,0.102622252,0.030007001,0.262612854,0.641426749,0.258517841,0.187925922,0.092697583,0.424338099,0.794907963,18663.66264
Pinnipedia,43.4,34,34,H2007,henaodiaz_etal_trees-master//phylo_H2007_.txt,108.1733966,0.166397806,0.122594355,0.04380345,0.288992161,0.73675464,0.038908972,7.60884331003138e-05,-0.05465124,0.084708182,0.000899049,0.671275625,0.363265187,0.670672115,0.671879135,1.177086098,319.8
Cracidae,23.3,47,50,H2016.tr.pr,henaodiaz_etal_trees-master//phylo_H2016.tr.pr_.txt,117.6417495,0.25927089,0.116999144,0.142271746,0.376270034,0.451262168,0.087953496,0.000647674,0.002258067,0.173648925,0.003743753,0.893181921,0.44243384,0.889838069,0.896525774,0.974326577,228.5196588
Ctenitis,26,36,53,H2017.tr.pr,henaodiaz_etal_trees-master//phylo_H2017.tr.pr_.txt,96.97958896,0.368733383,0.29808513,0.070648253,0.666818513,0.808402884,0.090242406,0.006542044,-0.072199231,0.189132435,0.035829069,1.52445183,0.825635376,1.469832141,1.57907152,1.09582661,227.669608
