"","dataset","model","r2","r2_randomized_mean","r2_randomized_sd","r2_randomized_min","r2_randomized_max","r2_mean_amount_worse_with_randomized","r2_min_amount_worse_with_randomized","r2_max_amount_worse_with_randomized","deltaAIC","r2_percentile_relative_to_randomized","h","h_percentile_relative_to_randomized","m","m_percentile_relative_to_randomized","b","b_percentile_relative_to_randomized"
"1","Ho et al. (2005)","h00",0.513559888255974,0.513559888255975,9.40203377273194e-17,0.513559888255974,0.513559888255975,-1.0325074129014e-16,-3.33066907387547e-16,0,10.6,0,"0.0088 (0.004, 0.021)",0.32,"0 (0, 0)",1,"0 (0, 0)",1
"2","Ho et al. (2005)","0m0",0.513559888255975,0.513559888255975,1.23245919086558e-16,0.513559888255974,0.513559888255975,1.11022302462516e-16,-2.22044604925031e-16,4.44089209850063e-16,39.78,0,"0 (0, 0)",1,"2.1 (0.27, 4.1)",0.36,"0 (0, 0)",1
"3","Ho et al. (2005)","hm0",0.485474420887547,0.50413263075341,0.0739535845868396,0.349233529288704,0.64698618495922,-0.0186582098658635,-0.161511764071674,0.136240891598843,12.55,0,"0.0084 (0.003, 0.022)",0.38,"0.0037 (-0.018, 0.045)",0.62,"0 (0, 0)",1
"4","Ho et al. (2005)","00b",0,0,0,0,0,0,0,0,14.33,1,"0 (0, 0)",1,"0 (0, 0)",1,"0.14 (0.052, 0.36)",0.32
"5","Ho et al. (2005)","h0b",0.359768794078147,0.513108430425843,0.0596755192153984,0.402307946120814,0.645341422825709,-0.153339636347696,-0.285572628747562,-0.042539152042667,9.26,0,"0.0039 (-7.9e-05, 0.015)",0,"0 (0, 0)",1,"0.043 (-0.0055, 0.2)",1
"6","Ho et al. (2005)","0mb",0.585322870027008,0.600254845980465,0.0300536530827944,0.530238922040952,0.643177107546276,-0.0149319759534565,-0.0578542375192672,0.0550839479860566,1.61,1,"0 (0, 0)",1,"-0.19 (-0.36, -0.097)",0.32,"0.2 (0.11, 0.37)",0.68
"7","Ho et al. (2005)","hmb",0.666319820215209,0.496068885319098,0.0968901792465388,0.141337432478676,0.657417924874859,0.170250934896111,0.00890189534034991,0.524982387736533,0,0.37,"0.0013 (-3e-04, 0.0019)",0,"-0.16 (-0.28, -0.088)",0,"0.16 (0.12, 0.29)",1
"8","Gingerich (1983)","h00",0.890078143504355,0.890078143504356,1.09327205936556e-16,0.890078143504355,0.890078143504356,-1.13242748511766e-16,-2.22044604925031e-16,1.11022302462516e-16,234.39,0,"0.15 (0.13, 0.19)",0.82,"0 (0, 0)",1,"0 (0, 0)",1
"9","Gingerich (1983)","0m0",0.890078143504356,0.890078143504356,7.96852098267379e-17,0.890078143504355,0.890078143504356,1.66533453693773e-17,-1.11022302462516e-16,2.22044604925031e-16,1990.79,0,"0 (0, 0)",1,"2.4 (0.89, 6.9)",0.92,"0 (0, 0)",1
"10","Gingerich (1983)","hm0",0.880097155830419,0.89006415011362,0.000980753172763048,0.886879401484136,0.891650116933443,-0.00996699428320067,-0.0115529611030238,-0.00678224565371666,196.91,0,"0.12 (0.089, 0.15)",0,"0.00026 (2.6e-05, 0.00078)",1,"0 (0, 0)",1
"11","Gingerich (1983)","00b",0,0,0,0,0,0,0,0,1224.93,1,"0 (0, 0)",1,"0 (0, 0)",1,"0.61 (0.38, 0.99)",0.93
"12","Gingerich (1983)","h0b",0.901594516319462,0.890141466434443,0.00147707643020649,0.885994345262475,0.893425537713494,0.0114530498850184,0.00816897860596788,0.0156001710569864,33.25,0.87,"0.066 (0.052, 0.085)",0,"0 (0, 0)",1,"0.027 (0.019, 0.037)",1
"13","Gingerich (1983)","0mb",0.0373642310701665,0.031407247878472,0.0028947819456994,0.0255456730691894,0.0398795127717082,0.00595698319169451,-0.00251528170154171,0.0118185580009771,1211.68,0.04,"0 (0, 0)",1,"-0.0014 (-0.0022, -0.00084)",0.76,"0.66 (0.41, 1)",0.3
"14","Gingerich (1983)","hmb",0.908055145863565,0.890133809448936,0.00143279098230977,0.885657738013463,0.89653387036133,0.0179213364146294,0.0115212755022351,0.0223974078501025,0,1,"0.063 (0.049, 0.079)",0,"-7.3e-05 (-9.5e-05, -4.8e-05)",0,"0.035 (0.024, 0.045)",1
"15","Uyeda et al. (2011)","h00",0.855563178505782,0.855563178505781,1.63610760169374e-16,0.855563178505781,0.855563178505782,1.809663530139e-16,-1.11022302462516e-16,4.44089209850063e-16,713.25,0,"0.039 (0.037, 0.041)",0.1,"0 (0, 0)",1,"0 (0, 0)",1
"16","Uyeda et al. (2011)","0m0",0.855563178505781,0.855563178505781,7.48512210505805e-17,0.855563178505781,0.855563178505782,2.99760216648792e-17,-2.22044604925031e-16,1.11022302462516e-16,19807.42,0,"0 (0, 0)",1,"1500 (1200, 2000)",0.46,"0 (0, 0)",1
