"","dataset","model","n","nfreeparams","param_h","param_m","param_b","param_h_lower","param_h_upper","param_m_lower","param_m_upper","param_b_lower","param_b_upper","rep","h_randomized_mean","h_randomized_lower_CI","h_randomized_upper_CI","m_randomized_mean","m_randomized_lower_CI","m_randomized_upper_CI","b_randomized_mean","b_randomized_lower_CI","b_randomized_upper_CI","r2_OO","r2_OR_mean","r2_OR_sd","r2_RR_mean","r2_RR_sd"
"1","Ho et al. (2005)","h00",17,1,0.00877346302776762,0,0,0.004038902692649,0.0208117600787956,0,0,0,0,"Original",0.00877346840344143,0.00877344505890119,0.00877349853515625,0,0,0,0,0,0,0.513559888255974,0.513559888255975,9.40203377273194e-17,0.677749164459455,0.0784711248453051
"2","Ho et al. (2005)","0m0",17,1,0,2.11513687077309,0,0,0,0.274085288318334,4.07679545977138,0,0,"Original",0,0,0,2.11513687523807,2.11513671875,2.11513694969773,0,0,0,0.513559888255975,0.513559888255975,1.23245919086558e-16,0.677749164459455,0.0784711248453051
"3","Ho et al. (2005)","hm0",17,2,0.00840893814413509,0.0037108715674091,0,0.00301074013060452,0.0221257828254988,-0.017853594712932,0.0449515987202819,0,0,"Original",0.00870354152073492,0.00698646932554042,0.0110350107976515,0.00346413135841021,-0.0100973457710629,0.0264226739136856,0,0,0,0.485474420887547,0.50413263075341,0.0739535845868396,0.666909682867772,0.0838062414775286
"4","Ho et al. (2005)","00b",17,1,0,0,0.136224351903603,0,0,0,0,0.0519648374731895,0.356130078033837,"Original",0,0,0,0,0,0,0.136224353251427,0.13622435159683,0.136224361386749,0,0,0,0,0
"5","Ho et al. (2005)","h0b",17,2,0.00387550084134928,0,0.0433762946534246,-7.94393996558784e-05,0.0146784748867599,0,0,-0.00545386090068124,0.197225077030881,"Original",0.00868220600894345,0.00590967734426429,0.0123000729149277,0,0,0,0.00221044129105287,-0.0115206288504957,0.0202885723931313,0.359768794078147,0.513108430425843,0.0596755192153984,0.670599631635092,0.0820020800053307
"6","Ho et al. (2005)","0mb",17,2,0,-0.190118291799683,0.198801585021791,0,0,-0.356240514623711,-0.0974355344890154,0.111592752134732,0.370372139251558,"Original",0,0,0,-0.181709377306715,-0.222389174095231,-0.157088559284179,0.194261683554734,0.179172792983962,0.227498854596871,0.585322870027008,0.600254845980465,0.0300536530827944,0.279571158091995,0.128925286270086
"7","Ho et al. (2005)","hmb",17,3,0.00131047993624605,-0.156448160399101,0.163169384706525,-0.000301068946168843,0.00185962875001083,-0.281760801309771,-0.0879434218945334,0.116735213793731,0.2891120181567,"Original",0.00903292746712169,0.00318440986395541,0.0150461201438177,0.00689676707337751,-0.0945915156702974,0.112517088232241,-0.000912941070568093,-0.0701181567588453,0.0977771808691065,0.666319820215209,0.496068885319098,0.0968901792465388,0.651948474708467,0.0942060308155866
"8","Gingerich (1983)","h00",515,1,0.154392747093047,0,0,0.128003430229784,0.186496819371826,0,0,0,0,"Original",0.154392745489684,0.154392743187908,0.154392752072906,0,0,0,0,0,0,0.890078143504355,0.890078143504356,1.09327205936556e-16,0.898095185539637,0.00273936060269989
"9","Gingerich (1983)","0m0",515,1,0,2.43990625,0,0,0,0.885437825438124,6.90627070894738,0,0,"Original",0,0,0,2.43990621813374,2.43990606383208,2.43990661882309,0,0,0,0.890078143504356,0.890078143504356,7.96852098267379e-17,0.898095185539637,0.00273936060269989
"10","Gingerich (1983)","hm0",515,2,0.115840988510172,0.00026262443435844,0,0.0886615914900405,0.152274127574604,2.62536938284396e-05,0.000783033513616863,0,0,"Original",0.154129610899192,0.150594375230813,0.157414001374338,1.73828633380373e-07,-5.76432725871824e-07,1.67769483443874e-06,0,0,0,0.880097155830419,0.89006415011362,0.000980753172763048,0.897912922895626,0.00277276296777674
"11","Gingerich (1983)","00b",515,1,0,0,0.613762033560693,0,0,0,0,0.375078930518419,0.993438354355414,"Original",0,0,0,0,0,0,0.61376200851453,0.61376199779568,0.61376203883902,0,0,0,0,0
"12","Gingerich (1983)","h0b",515,2,0.0664903130850022,0,0.0271682745556629,0.051644276253004,0.0846650277484004,0,0,0.0192363227300743,0.0371248606457745,"Original",0.153919218638106,0.147383238596523,0.158900307967554,0,0,0,5.98474781883765e-05,-0.000236440404281714,0.000644932527891302,0.901594516319462,0.890141466434443,0.00147707643020649,0.897905793917164,0.00277912885586599
"13","Gingerich (1983)","0mb",515,2,0,-0.00144265139015676,0.657323330431139,0,0,-0.00224012696182003,-0.000839407563396002,0.409837576230105,1.02678267063623,"Original",0,0,0,-0.00146046225571232,-0.00159048497651519,-0.00136106432757908,0.663723256632215,0.618622552629602,0.722194058448175,0.0373642310701665,0.031407247878472,0.0028947819456994,0.0434192706480227,0.00667426825225727
"14","Gingerich (1983)","hmb",515,3,0.0633977177935531,-7.31608780372446e-05,0.0345182825164568,0.0489134112540926,0.0790956598507327,-9.48775983462777e-05,-4.81526379118272e-05,0.0244858950370808,0.0447441713321323,"Original",0.154501836388191,0.147674878789084,0.160654248870313,8.91856259624244e-08,-1.76816461054601e-06,2.18986510614014e-06,4.09822110117129e-05,-0.000544642139122591,0.000769304874660657,0.908055145863565,0.890133809448936,0.00143279098230977,0.897886792795749,0.00278380034849644
